Folks	NNS	folk
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
today	NN	today
about	IN	about
some	DT	some
of	IN	of
the	DT	the
ideas	NNS	idea
that	WDT	that
are	VBP	be
contained	VBN	contain
in	IN	in
my	PP$	my
new	JJ	new
book	NN	book
,	,	,
"	``	"
Soul	NN	soul
Boom	NP	Boom
:	:	:
Why	WRB	why
We	PP	we
Need	VBP	need
a	DT	a
Spiritual	JJ	spiritual
Revolution	NN	revolution
.	SENT	.
"	''	"
But	CC	but
first	JJ	first
things	NNS	thing
first	JJ	first
.	SENT	.
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
really	RB	really
important	JJ	important
to	TO	to
initially	RB	initially
define	VB	define
the	DT	the
word	NN	word
"	``	"
spiritual	JJ	spiritual
.	SENT	.
"	''	"
What	WP	what
do	VBP	do
we	PP	we
mean	VB	mean
when	WRB	when
we	PP	we
say	VBP	say
the	DT	the
word	NN	word
"	``	"
spiritual	JJ	spiritual
?	SENT	?
"	``	"
Because	IN	because
that	WDT	that
means	VBZ	mean
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
things	NNS	thing
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
people	NNS	people
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
a	DT	a
spiritual	JJ	spiritual
revolution	NN	revolution
,	,	,
what	WP	what
exactly	RB	exactly
are	VBP	be
we	PP	we
discussing	VBG	discuss
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
define	VB	define
our	PP$	our
terms	NNS	term
?	SENT	?
To	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
"	``	"
spiritual	JJ	spiritual
"	''	"
means	NN	means
ghosts	NNS	ghost
and	CC	and
seances	NNS	seance
and	CC	and
Ouija	NN	ouija
boards	NNS	board
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
certainly	RB	certainly
not	RB	not
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
.	SENT	.
To	TO	to
many	JJ	many
people	NNS	people
,	,	,
"	``	"
spirituality	NN	spirituality
"	''	"
or	CC	or
"	``	"
spiritual	JJ	spiritual
"	''	"
refers	VBZ	refer
to	TO	to
a	DT	a
kind	NN	kind
of	IN	of
,	,	,
what	WP	what
I	PP	I
would	MD	would
call	VB	call
a	DT	a
vague	JJ	vague
feeling	NN	feeling
in	IN	in
the	DT	the
heart	NN	heart
while	IN	while
at	IN	at
a	DT	a
yoga	NN	yoga
class	NN	class
or	CC	or
meditating	VBG	meditate
or	CC	or
a	DT	a
crystal	NN	crystal
or	CC	or
incense	NN	incense
or	CC	or
something	NN	something
like	IN	like
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
also	RB	also
not	RB	not
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
to	TO	to
insult	VB	insult
that	DT	that
spiritual	JJ	spiritual
path	NN	path
in	IN	in
the	DT	the
slightest	JJS	slight
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
incredibly	RB	incredibly
important	JJ	important
.	SENT	.
More	JJR	more
on	IN	on
that	DT	that
later	RBR	later
.	SENT	.
And	CC	and
to	TO	to
some	DT	some
people	NNS	people
,	,	,
the	DT	the
word	NN	word
"	``	"
spiritual	JJ	spiritual
"	''	"
is	VBZ	be
synonymous	JJ	synonymous
with	IN	with
religious	JJ	religious
and	CC	and
religion	NN	religion
,	,	,
and	CC	and
"	``	"
spiritual	JJ	spiritual
"	''	"
simply	RB	simply
means	VBZ	mean
church	NN	church
on	IN	on
Sundays	NNS	Sunday
at	IN	at
11	CD	@card@
am	RB	am
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
also	RB	also
not	RB	not
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
right	RB	right
to	TO	to
the	DT	the
source	NN	source
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
go	VBP	go
to	TO	to
the	DT	the
Oxford	NP	Oxford
Dictionary	NP	Dictionary
.	SENT	.
And	CC	and
spirituality	NN	spirituality
is	VBZ	be
the	DT	the
"	``	"
quality	NN	quality
of	IN	of
being	VBG	be
concerned	VBN	concern
with	IN	with
the	DT	the
human	JJ	human
spirit	NN	spirit
.	SENT	.
"	''	"
And	CC	and
in	IN	in
the	DT	the
Cambridge	NP	Cambridge
Dictionary	NP	Dictionary
,	,	,
it	PP	it
'	POS	'
s	NN	S
"	``	"
the	DT	the
quality	NN	quality
that	WDT	that
involves	VBZ	involve
deep	JJ	deep
feelings	NNS	feeling
and	CC	and
beliefs	NNS	belief
of	IN	of
a	DT	a
religious	JJ	religious
nature	NN	nature
rather	RB	rather
than	IN	than
the	DT	the
physical	JJ	physical
parts	NNS	part
of	IN	of
life	NN	life
.	SENT	.
"	''	"
So	RB	so
those	DT	those
are	VBP	be
two	CD	two
pretty	JJ	pretty
great	JJ	great
definitions	NNS	definition
.	SENT	.
And	CC	and
right	RB	right
there	RB	there
,	,	,
smack	VBP	smack
dab	NN	dab
in	IN	in
the	DT	the
middle	NN	middle
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
when	WRB	when
I	PP	I
say	VBP	say
that	IN	that
we	PP	we
need	VBP	need
a	DT	a
spiritual	JJ	spiritual
revolution	NN	revolution
.	SENT	.
So	RB	so
to	TO	to
tiptoe	VB	tiptoe
toward	IN	toward
some	DT	some
of	IN	of
these	DT	these
larger	JJR	large
