There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
poem	NN	poem
written	VBN	write
by	IN	by
a	DT	a
very	RB	very
famous	JJ	famous
English	JJ	English
poet	NN	poet
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
19th	JJ	19th
century	NN	century
.	SENT	.
It	PP	it
was	VBD	be
said	VBN	say
to	TO	to
echo	VB	echo
in	IN	in
Churchill	NP	Churchill
'	POS	'
s	JJ	<unknown>
brain	NN	brain
in	IN	in
the	DT	the
1930s	NNS	1930s
.	SENT	.
And	CC	and
the	DT	the
poem	NN	poem
goes	VBZ	go
:	:	:
"	``	"
On	IN	on
the	DT	the
idle	JJ	idle
hill	NN	hill
of	IN	of
summer	NN	summer
,	,	,
lazy	JJ	lazy
with	IN	with
the	DT	the
flow	NN	flow
of	IN	of
streams	NNS	stream
,	,	,
hark	VB	hark
I	PP	I
hear	VB	hear
a	DT	a
distant	JJ	distant
drummer	NN	drummer
,	,	,
drumming	VBG	drum
like	IN	like
a	DT	a
sound	NN	sound
in	IN	in
dreams	NNS	dream
,	,	,
far	JJ	far
and	CC	and
near	JJ	near
and	CC	and
low	JJ	low
and	CC	and
louder	RBR	louder
on	IN	on
the	DT	the
roads	NNS	road
of	IN	of
earth	NN	earth
go	VBP	go
by	IN	by
,	,	,
dear	RB	dear
to	TO	to
friend	NN	friend
and	CC	and
food	NN	food
to	TO	to
powder	NN	powder
,	,	,
soldiers	NNS	soldier
marching	VBG	march
,	,	,
soon	RB	soon
to	TO	to
die	VB	die
.	SENT	.
"	``	"
Those	DT	those
who	WP	who
are	VBP	be
interested	JJ	interested
in	IN	in
poetry	NN	poetry
,	,	,
the	DT	the
poem	NN	poem
is	VBZ	be
"	``	"
A	DT	a
Shropshire	NP	Shropshire
Lad	NP	Lad
"	''	"
written	VBN	write
by	IN	by
A	DT	a
.	SENT	.
E	LS	e
.	SENT	.
Housman	NP	Housman
.	SENT	.
But	CC	but
what	WP	what
Housman	NP	Housman
understood	VBD	understand
,	,	,
and	CC	and
you	PP	you
hear	VBP	hear
it	PP	it
in	IN	in
the	DT	the
symphonies	NNS	symphony
of	IN	of
Nielsen	NP	Nielsen
too	RB	too
,	,	,
was	VBD	be
that	IN	that
the	DT	the
long	JJ	long
,	,	,
hot	JJ	hot
,	,	,
silvan	JJ	silvan
summers	NNS	summer
of	IN	of
stability	NN	stability
of	IN	of
the	DT	the
19th	JJ	19th
century	NN	century
were	VBD	be
coming	VBG	come
to	TO	to
a	DT	a
close	NN	close
,	,	,
and	CC	and
that	IN	that
we	PP	we
were	VBD	be
about	RB	about
to	TO	to
move	VB	move
into	IN	into
one	CD	one
of	IN	of
those	DT	those
terrifying	JJ	terrifying
periods	NNS	period
of	IN	of
history	NN	history
when	WRB	when
power	NN	power
changes	NNS	change
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
always	RB	always
periods	NNS	period
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
accompanied	VBN	accompany
by	IN	by
turbulence	NN	turbulence
,	,	,
and	CC	and
all	RB	all
too	RB	too
often	RB	often
by	IN	by
blood	NN	blood
.	SENT	.
And	CC	and
my	PP$	my
message	NN	message
for	IN	for
you	PP	you
is	VBZ	be
that	IN	that
I	PP	I
believe	VBP	believe
we	PP	we
are	VBP	be
condemned	VBN	condemn
,	,	,
if	IN	if
you	PP	you
like	VBP	like
,	,	,
to	TO	to
live	VB	live
at	IN	at
just	RB	just
one	CD	one
of	IN	of
those	DT	those
moments	NNS	moment
in	IN	in
history	NN	history
when	WRB	when
the	DT	the
gimbals	NN	gimbals
upon	IN	upon
which	WDT	which
the	DT	the
established	JJ	established
order	NN	order
of	IN	of
power	NN	power
is	VBZ	be
beginning	VBG	begin
to	TO	to
change	VB	change
and	CC	and
the	DT	the
new	JJ	new
look	NN	look
of	IN	of
the	DT	the
world	NN	world
,	,	,
the	DT	the
new	JJ	new
powers	NNS	power
that	WDT	that
exist	VBP	exist
in	IN	in
the	DT	the
world	NN	world
,	,	,
are	VBP	be
beginning	VBG	begin
to	TO	to
take	VB	take
form	NN	form
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
—	:	-
and	CC	and
we	PP	we
see	VBP	see
it	PP	it
very	RB	very
clearly	RB	clearly
today	NN	today
—	:	-
nearly	RB	nearly
always	RB	always
highly	RB	highly
turbulent	JJ	turbulent
times	NNS	time
,	,	,
highly	RB	highly
difficult	JJ	difficult
times	NNS	time
,	,	,
and	CC	and
all	RB	all
too	RB	too
often	RB	often
very	RB	very
bloody	JJ	bloody
times	NNS	time
.	SENT	.
By	IN	by
the	DT	the
way	NN	way
,	,	,
it	PP	it
happens	VBZ	happen
about	RB	about
once	RB	once
every	DT	every
century	NN	century
.	SENT	.
You	PP	you
might	MD	might
argue	VB	argue
that	IN	that
the	DT	the
last	JJ	last
time	NN	time
it	PP	it
happened	VBD	happen
—	:	-
and	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
Housman	NP	Housman
felt	VBD	feel
coming	VBG	come
and	CC	and
what	WDT	what
Churchill	NP	Churchill
felt	VBD	feel
too	RB	too
—	:	-
was	VBD	be
that	IN	that
when	WRB	when
power	NN	power
passed	VBD	pass
from	IN	from
the	DT	the
old	JJ	old
nations	NNS	nation
,	,	,
the	DT	the
old	JJ	old
powers	NNS	power
of	IN	of
Europe	NP	Europe
,	,	,
across	IN	across
the	DT	the
Atlantic	NP	Atlantic
to	TO	to
the	DT	the
new	JJ	new
emerging	VBG	emerge
power	NN	power
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
—	:	-
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
American	JJ	American
century	NN	century
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
into	IN	into
the	DT	the
vacuum	NN	vacuum
where	WRB	where
the	DT	the
too-old	JJ	<unknown>
European	JJ	European
powers	NNS	power
used	VBN	use
to	TO	to
be	VB	be
were	VBD	be
played	VBN	play
the	DT	the
two	CD	two
bloody	JJ	bloody
catastrophes	NNS	catastrophe
of	IN	of
the	DT	the
last	JJ	last
century	NN	century
—	:	-
the	DT	the
one	CD	one
in	IN	in
the	DT	the
first	JJ	first
part	NN	part
and	CC	and
the	DT	the
one	CD	one
in	IN	in
the	DT	the
second	JJ	second
part	NN	part
:	:	:
the	DT	the
two	CD	two
great	JJ	great
World	NP	World
Wars	NPS	Wars
.	SENT	.
Mao	NP	Mao
Zedong	NP	<unknown>
used	VBD	use
to	TO	to
refer	VB	refer
to	TO	to
them	PP	them
as	IN	as
the	DT	the
European	JJ	European
civil	JJ	civil
wars	NNS	war
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
a	DT	a
more	RBR	more
accurate	JJ	accurate
way	NN	way
of	IN	of
describing	VBG	describe
them	PP	them
.	SENT	.
Well	RB	well
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
we	PP	we
live	VBP	live
at	IN	at
one	CD	one
of	IN	of
those	DT	those
times	NNS	time
.	SENT	.
But	CC	but
for	IN	for
us	PP	us
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
three	CD	three
factors	NNS	factor
today	NN	today
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
of	IN	of
these	DT	these
,	,	,
the	DT	the
first	JJ	first
two	CD	two
of	IN	of
these	DT	these
,	,	,
is	VBZ	be
about	RB	about
a	DT	a
shift	NN	shift
in	IN	in
power	NN	power
.	SENT	.
And	CC	and
the	DT	the
second	NN	second
is	VBZ	be
about	RB	about
some	DT	some
new	JJ	new
dimension	NN	dimension
which	WDT	which
I	PP	I
want	VBP	want
to	TO	to
refer	VB	refer
to	TO	to
,	,	,
which	WDT	which
has	VBZ	have
never	RB	never
quite	RB	quite
happened	VBN	happen
in	IN	in
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	JJ	<unknown>
