This this
is be
my my
great great
uncle uncle
, ,
my my
father father
' '
s s
father father
' '
s s
younger young
brother brother
. .
His his
name name
was be
Joe joe
McKenna mckenna
. .
He he
was be
a a
young young
husband husband
and and
a a
semi-pro semi-pro
basketball basketball
player player
and and
a a
fireman fireman
in in
New new
York york
City city
. .
Family family
history history
says say
he he
loved love
being be
a a
fireman fireman
, ,
and and
so so
in in
1938 @card@
, ,
on on
one one
of of
his his
days day
off off
, ,
he he
elected elect
to to
hang hang
out out
at at
the the
firehouse firehouse
. .
To to
make make
himself himself
useful useful
that that
day day
, ,
he he
started start
polishing polish
all all
the the
brass brass
, ,
the the
railings railing
on on
the the
fire fire
truck truck
, ,
the the
fittings fitting
on on
the the
walls wall
, ,
and and
one one
of of
the the
fire fire
hose hose
nozzles nozzle
, ,
a a
giant giant
, ,
heavy heavy
piece piece
of of
metal metal
, ,
toppled topple
off off
a a
shelf shelf
and and
hit hit
him him
. .
A a
few few
days day
later later
, ,
his his
shoulder shoulder
started start
to to
hurt hurt
. .
Two two
days day
after after
that that
, ,
he he
spiked spike
a a
fever fever
. .
The the
fever fever
climbed climb
and and
climbed climb
. .
His his
wife wife
was be
taking take
care care
of of
him him
, ,
but but
nothing nothing
she she
did do
made make
a a
difference difference
, ,
and and
when when
they they
got get
the the
local local
doctor doctor
in in
, ,
nothing nothing
he he
did do
mattered matter
either either
. .
They they
flagged flag
down down
a a
cab cab
and and
took take
him him
to to
the the
hospital hospital
. .
The the
nurses nurse
there there
recognized recognize
right right
away away
that that
he he
had have
an an
infection infection
, ,
what what
at at
the the
time time
they they
would would
have have
called call
" "
blood blood
poisoning poisoning
, ,
" "
and and
though though
they they
probably probably
didn didn
' '
t t
say say
it it
, ,
they they
would would
have have
known know
right right
away away
that that
there there
was be
nothing nothing
they they
could could
do do
. .
There there
was be
nothing nothing
they they
could could
do do
because because
the the
things thing
we we
use use
now now
to to
cure cure
infections infection
didn didn
' '
t t
exist exist
yet yet
. .
The the
first first
test test
of of
penicillin penicillin
, ,
the the
first first
antibiotic antibiotic
, ,
was be
three three
years year
in in
the the
future future
. .
People people
who who
got get
infections infection
either either
recovered recover
, ,
if if
they they
were be
